Senator,Party,Organization,Total,PACs,Individuals
"Bennet, Michael",(D),Forest City Enterprises,24800,5000,19800
"Bennet, Michael",(D),Investment Co Institute,24500,23500,1000
"Bennet, Michael",(D),Bauman Foundation,24300,0,24300
"Bennet, Michael",(D),Colorado State University,24054,0,24054
"Bennet, Michael",(D),Federation of American Hospitals,24000,24000,0
"Bennet, Michael",(D),UnitedHealth Group,23945,18000,5945
"Bennet, Michael",(D),Farm Credit Council,23730,22730,1000
"Bennet, Michael",(D),University of Denver,23584,0,23584
"Bennet, Michael",(D),Morgan Stanley,23425,4000,19425
"Bennet, Michael",(D),JStreetPAC,23343,2500,20843
"Bennet, Michael",(D),"Kleiner, Perkins et al",23200,0,23200
"Bennet, Michael",(D),Steptoe & Johnson,23083,3500,19583
"Blackburn, Marsha",(R),Senate Conservatives Fund,289292,0,289292
"Blackburn, Marsha",(R),Club for Growth,220703,2603,218100
"Blackburn, Marsha",(R),CoreCivic Inc,57400,12500,44900
"Blackburn, Marsha",(R),HCA Inc,56100,10000,46100
"Blackburn, Marsha",(R),Southwestern Family of Companies,55300,0,55300
"Blackburn, Marsha",(R),FedEx Corp,52753,20000,32753
"Blackburn, Marsha",(R),AT&T Inc,47491,22000,25491
"Blackburn, Marsha",(R),National Republican Senatorial Cmte,47402,47400,2
"Blackburn, Marsha",(R),Copart Inc,46167,0,46167
"Blackburn, Marsha",(R),Franklin American Mortgage,43000,0,43000
"Blackburn, Marsha",(R),Comcast Corp,42950,20000,22950
"Blackburn, Marsha",(R),State of Tennessee,40620,0,40620
"Blackburn, Marsha",(R),Ingram Industries,40025,5700,34325
"Blackburn, Marsha",(R),DISH Network,37500,10500,27000
"Blackburn, Marsha",(R),Jackson National Life Insurance,37275,12500,24775
"Blackburn, Marsha",(R),Blackstone Group,35855,0,35855
"Blackburn, Marsha",(R),Koch Industries,35100,20000,15100
"Blackburn, Marsha",(R),Acadia Healthcare,33700,12500,21200
"Blackburn, Marsha",(R),Pilot Corp,32904,0,32904
"Blackburn, Marsha",(R),Gen Cap America,31800,0,31800
"Blackburn, Marsha",(R),Avkare,31600,0,31600
"Blackburn, Marsha",(R),McKee Foods,31075,0,31075
"Blackburn, Marsha",(R),Duke Energy,31050,10000,21050
"Blackburn, Marsha",(R),Advance Financial,30075,2500,27575
"Blackburn, Marsha",(R),Impala Asset Management,29400,0,29400
"Blackburn, Marsha",(R),Delta Air Lines,28450,15000,13450
"Blackburn, Marsha",(R),DaVita Inc,28250,16500,11750
"Blackburn, Marsha",(R),Tom James Co,27700,1000,26700
"Blackburn, Marsha",(R),Cooper Steel,27600,0,27600
"Blackburn, Marsha",(R),Lumen Technologies,27410,12500,14910
"Blackburn, Marsha",(R),Cash Express LLC,27400,0,27400
"Blackburn, Marsha",(R),Fitzgerald Glider Kits,27000,0,27000
"Blackburn, Marsha",(R),"Baker, Donelson et al",26371,2700,23671
"Blackburn, Marsha",(R),Quicken Loans,26200,10000,16200
"Blackburn, Marsha",(R),T-Mobile USA,25525,25000,525
"Blackburn, Marsha",(R),Altria Group,25016,20000,5016
"Blackburn, Marsha",(R),Marathon Petroleum,25010,25000,10
"Blackburn, Marsha",(R),Deloitte LLP,24935,12500,12435
"Blackburn, Marsha",(R),Jones Management Services,24800,0,24800
"Blackburn, Marsha",(R),Community Health Systems,24400,15000,9400
"Blackburn, Marsha",(R),Healthmark Ventures,24300,0,24300
"Blackburn, Marsha",(R),Powell Companies,24100,0,24100
"Blackburn, Marsha",(R),Lipman Brothers,23800,0,23800
"Blackburn, Marsha",(R),Charter Communications,23500,22500,1000
"Blackburn, Marsha",(R),Jonathan's Grille,22550,0,22550
"Blackburn, Marsha",(R),NorPAC,22300,0,22300
"Blackburn, Marsha",(R),Amgen Inc,22000,18000,4000
"Blackburn, Marsha",(R),Curb Records,22000,0,22000
"Blackburn, Marsha",(R),M&M Industries,22000,0,22000
"Blackburn, Marsha",(R),IDEMIA,21856,9956,11900
"Blackburn, Marsha",(R),NCTA The Internet & Television Assn,21600,15000,6600
"Blackburn, Marsha",(R),International Paper,21425,15000,6425
"Blackburn, Marsha",(R),PricewaterhouseCoopers,21250,20000,1250
"Blackburn, Marsha",(R),Fitzgerald Truck Parts & Sales,21200,0,21200
"Blackburn, Marsha",(R),National HealthCare Corp,20975,12500,8475
"Blackburn, Marsha",(R),Republican Jewish Coalition,20961,10000,10961
"Blackburn, Marsha",(R),BGR Group,20800,0,20800
"Blackburn, Marsha",(R),John Lee Co,20700,0,20700
"Blackburn, Marsha",(R),British American Tobacco,20500,20000,500
"Blackburn, Marsha",(R),United Parcel Service,20358,18500,1858
"Blackburn, Marsha",(R),Pfizer Inc,20250,17500,2750
"Blackburn, Marsha",(R),American College of Radiology,20000,20000,0
"Blackburn, Marsha",(R),National Assn of Broadcasters,19750,15000,4750
"Blackburn, Marsha",(R),Compassus,19700,0,19700
"Blackburn, Marsha",(R),Apollo Global Management,19533,12700,6833
"Blackburn, Marsha",(R),Committee to Defend the President,19529,12927,6602
"Blackburn, Marsha",(R),Berkshire Hathaway,19305,12000,7305
"Blackburn, Marsha",(R),Irby Investments,19300,0,19300
"Blackburn, Marsha",(R),Cumberland Pharmaceuticals,18900,7500,11400
"Blackburn, Marsha",(R),Jennmar Corp,18900,0,18900
"Blackburn, Marsha",(R),Winning for Women,18500,5000,13500
"Blackburn, Marsha",(R),Great America PAC,18345,7300,11045
"Blackburn, Marsha",(R),Recording Industry Assn of America,18000,7700,10300
"Blackburn, Marsha",(R),Community Oncology Alliance,17999,12999,5000
"Blackburn, Marsha",(R),Capstar Bank,17950,0,17950
"Blackburn, Marsha",(R),Beaman Automotive Group,17900,0,17900
"Blackburn, Marsha",(R),Walt Disney Co,17710,15000,2710
"Blackburn, Marsha",(R),Fortress Investment Group,17700,0,17700
"Blackburn, Marsha",(R),Cigna Corp,17525,17500,25
"Blackburn, Marsha",(R),Toyota Motor North America,17525,17500,25
"Blackburn, Marsha",(R),Federation of American Hospitals,17500,17500,0
"Blackburn, Marsha",(R),Massachusetts Mutual Life Insurance,17500,16500,1000
"Blackburn, Marsha",(R),National Multifamily Housing Council,17500,17500,0
"Blackburn, Marsha",(R),Eastman Chemical,17450,15000,2450
"Blackburn, Marsha",(R),Broadcast Music Inc,17400,15400,2000
"Blackburn, Marsha",(R),Continental Resources,17400,10000,7400
"Blackburn, Marsha",(R),Elliott Management,17200,0,17200
"Blackburn, Marsha",(R),Verizon Communications,17053,16000,1053
"Blackburn, Marsha",(R),Oracle Corp,17030,3280,13750
"Blackburn, Marsha",(R),Boyle Investment Co,16600,0,16600
"Blackburn, Marsha",(R),Fox Sports,16600,0,16600
"Blackburn, Marsha",(R),Yarbrough Capital LLC,16600,0,16600
"Blackburn, Marsha",(R),Telephone & Data Systems Inc,16450,11000,5450
"Blackburn, Marsha",(R),American Development Corp,16400,0,16400
"Blackburn, Marsha",(R),Design House,16400,0,16400
"Blackburn, Marsha",(R),First Regents Bancservices,16400,0,16400
"Blackburn, Marsha",(R),Giarratana Development,16400,0,16400
"Blackburn, Marsha",(R),Lexus of Memphis,16400,0,16400
